event_id,project_id,control_id,domain,parameter,severity,approved,maintenance_window,actor,environment,baseline_value,new_value,drift,risk_score,label
282,1,6,Firewall,RDP,Medium,0,1,Engineer,Production,AES256,Internal,1,60,Risky
283,1,13,Database,Audit Logging,Medium,0,1,Engineer,Staging,AES256,Public,1,45,Safe
284,1,7,Endpoint,USB Access,Critical,0,0,Engineer,Production,AES256,Public,1,90,Risky
285,1,5,Identity,Password Length,Medium,1,0,Engineer,Production,Enabled,Internal,1,50,Risky
286,1,20,Endpoint,Firewall,Critical,0,1,Engineer,Development,Disabled,Enabled,1,60,Risky
287,1,1,Firewall,ICMP,Critical,0,1,Engineer,Development,VPN,FALSE,1,60,Risky
288,1,20,Firewall,SSH Port,Medium,0,1,CI/CD,Development,AES256,AES128,1,35,Safe
289,2,18,Database,Remote Access,Critical,1,0,Engineer,Production,Internal,Internal,0,65,Risky
290,1,12,Firewall,SSH Port,Medium,1,0,CI/CD,Staging,Enabled,Public,1,35,Safe
291,3,9,Endpoint,Firewall,High,0,0,CI/CD,Production,AES256,FALSE,1,75,Risky
292,1,13,Cloud,S3 Public Access,High,0,1,CI/CD,Production,Internal,Internal,0,60,Risky
293,2,2,Identity,Password Length,Critical,0,0,Administrator,Production,FALSE,TRUE,1,90,Risky
294,2,10,Database,Audit Logging,Low,0,1,Administrator,Production,Enabled,Internal,1,50,Risky
295,3,7,Database,Audit Logging,Low,1,1,Engineer,Production,TRUE,Disabled,1,35,Safe
296,1,11,Endpoint,USB Access,Medium,1,1,CI/CD,Development,VPN,Disabled,1,20,Safe
297,1,17,Database,Audit Logging,Critical,1,0,Administrator,Staging,TRUE,TRUE,0,50,Risky
298,3,16,Firewall,RDP,Medium,1,0,Administrator,Production,Disabled,Enabled,1,50,Risky
299,1,1,Identity,Password Length,Critical,1,1,Engineer,Development,Enabled,Public,1,45,Safe
300,3,1,Endpoint,Firewall,Medium,0,1,CI/CD,Development,FALSE,Public,1,35,Safe
301,3,12,Database,Remote Access,High,0,1,Engineer,Production,Disabled,FALSE,1,70,Risky
302,3,6,Identity,MFA,Low,1,1,CI/CD,Staging,FALSE,FALSE,0,10,Safe
303,3,8,Logging,Log Retention,High,0,1,Engineer,Production,TRUE,Public,1,70,Risky
304,3,19,Database,Encryption,Low,0,0,CI/CD,Development,Enabled,Disabled,1,30,Safe
305,1,16,Endpoint,Real Time Protection,Low,0,1,CI/CD,Production,Disabled,AES128,1,50,Risky
306,1,16,Database,Remote Access,Low,1,1,Engineer,Staging,VPN,AES128,1,20,Safe
307,1,11,Cloud,CloudTrail,Critical,0,1,Engineer,Production,VPN,Public,1,85,Risky
308,3,17,Identity,Conditional Access,High,0,0,CI/CD,Staging,AES256,Enabled,1,60,Risky
309,2,2,Logging,Log Integrity,Medium,1,1,Engineer,Production,Enabled,TRUE,1,45,Safe
310,2,8,Logging,System Logging,Low,0,0,CI/CD,Production,AES256,Internal,1,55,Risky
311,1,1,Firewall,ICMP,Low,0,1,CI/CD,Production,FALSE,Disabled,1,50,Risky
312,2,3,Database,Audit Logging,Low,1,1,CI/CD,Development,VPN,AES128,1,10,Safe
313,1,13,Cloud,Security Group,Medium,1,1,CI/CD,Staging,AES256,FALSE,1,30,Safe
314,3,15,Identity,Conditional Access,Critical,1,0,CI/CD,Staging,Disabled,Internal,1,60,Risky
315,2,3,Endpoint,USB Access,High,1,0,CI/CD,Staging,Internal,AES128,1,45,Safe
316,2,4,Logging,Log Retention,Critical,1,0,CI/CD,Staging,VPN,TRUE,1,60,Risky
317,1,9,Logging,Log Retention,High,0,0,CI/CD,Development,Enabled,FALSE,1,50,Risky
318,1,5,Logging,System Logging,High,1,1,Administrator,Development,TRUE,TRUE,0,20,Safe
319,2,5,Firewall,RDP,Medium,1,1,Administrator,Staging,VPN,Public,1,30,Safe
320,2,19,Identity,MFA,Medium,0,0,Administrator,Development,AES256,Internal,1,40,Safe
321,3,18,Identity,MFA,High,1,0,Engineer,Staging,FALSE,AES128,1,45,Safe
322,3,4,Cloud,Security Group,High,1,1,Administrator,Production,AES256,FALSE,1,55,Risky
323,1,5,Identity,Password Length,Low,1,1,Administrator,Production,TRUE,Internal,1,35,Safe
324,1,8,Firewall,ICMP,High,1,0,Administrator,Development,AES256,Public,1,35,Safe
325,2,16,Endpoint,USB Access,High,0,1,Engineer,Development,FALSE,Disabled,1,45,Safe
326,2,2,Database,Encryption,Low,0,1,Administrator,Production,Disabled,Enabled,1,50,Risky
327,2,12,Database,Remote Access,Critical,0,1,Engineer,Development,TRUE,AES128,1,60,Risky
328,3,18,Database,Audit Logging,Medium,1,0,Administrator,Development,TRUE,FALSE,1,25,Safe
329,2,20,Logging,Log Retention,Critical,1,0,Administrator,Production,AES256,AES128,1,75,Risky
330,1,10,Endpoint,USB Access,Low,0,0,Engineer,Production,Enabled,Internal,1,55,Risky
331,2,17,Identity,Conditional Access,Critical,0,1,Engineer,Development,AES256,Enabled,1,60,Risky
332,2,3,Database,Audit Logging,Medium,0,1,Administrator,Production,AES256,Enabled,1,60,Risky
333,1,6,Endpoint,Real Time Protection,Medium,1,1,Administrator,Production,TRUE,Internal,1,45,Safe
334,3,10,Cloud,S3 Public Access,Low,0,0,CI/CD,Production,FALSE,Internal,1,55,Risky
335,1,8,Endpoint,Real Time Protection,Critical,1,0,Engineer,Staging,Internal,FALSE,1,60,Risky
336,3,14,Logging,Log Retention,Medium,0,1,CI/CD,Staging,Internal,TRUE,1,45,Safe
337,1,11,Logging,Log Retention,High,0,1,Engineer,Development,Internal,FALSE,1,45,Safe
338,3,12,Database,Audit Logging,High,1,1,CI/CD,Development,Disabled,Enabled,1,30,Safe
339,2,3,Logging,System Logging,Low,0,1,Engineer,Staging,Enabled,Enabled,0,25,Safe
340,1,3,Cloud,Security Group,Medium,1,0,Engineer,Production,Disabled,Enabled,1,50,Risky
341,2,6,Cloud,CloudTrail,Critical,1,0,CI/CD,Production,Disabled,Enabled,1,75,Risky
342,3,12,Logging,Log Retention,Medium,0,1,Administrator,Production,Internal,Disabled,1,60,Risky
343,2,16,Logging,Log Integrity,Medium,0,1,Engineer,Staging,VPN,AES128,1,45,Safe
344,1,9,Database,Audit Logging,Low,0,0,Administrator,Staging,FALSE,TRUE,1,40,Safe
345,2,12,Identity,MFA,Medium,1,0,Administrator,Development,AES256,AES128,1,25,Safe
346,1,5,Endpoint,Firewall,Critical,0,1,Engineer,Development,TRUE,TRUE,0,50,Risky
347,1,9,Logging,System Logging,High,0,0,Engineer,Production,Enabled,Disabled,1,75,Risky
348,1,19,Endpoint,Real Time Protection,Medium,1,1,CI/CD,Production,FALSE,TRUE,1,45,Safe
349,2,14,Logging,Log Integrity,Low,1,0,Administrator,Production,TRUE,TRUE,0,30,Safe
350,1,3,Endpoint,Real Time Protection,Critical,0,1,CI/CD,Production,TRUE,Internal,1,85,Risky
351,2,1,Logging,Log Integrity,High,0,0,Administrator,Staging,Internal,Internal,0,50,Risky
352,1,7,Identity,Password Length,Low,1,1,Administrator,Production,Internal,Internal,0,25,Safe
353,3,18,Logging,Log Retention,Medium,0,0,Engineer,Development,VPN,TRUE,1,40,Safe
354,3,16,Database,Audit Logging,Low,1,1,CI/CD,Production,Internal,TRUE,1,35,Safe
355,2,9,Database,Remote Access,Medium,1,0,Engineer,Staging,AES256,Disabled,1,35,Safe
356,3,5,Identity,Password Length,Critical,1,0,Administrator,Staging,VPN,Enabled,1,60,Risky
357,1,2,Identity,MFA,High,0,1,Engineer,Staging,Enabled,Public,1,55,Risky
358,2,12,Cloud,Security Group,Critical,1,1,Administrator,Production,VPN,Public,1,70,Risky
359,3,18,Cloud,IAM MFA,Low,0,0,Administrator,Staging,FALSE,Internal,1,40,Safe
360,2,12,Cloud,Security Group,Critical,1,1,CI/CD,Production,Disabled,Public,1,70,Risky
361,2,1,Logging,Log Retention,High,1,1,Engineer,Production,Enabled,Enabled,0,45,Safe
362,2,4,Logging,Log Integrity,Critical,1,1,Engineer,Development,TRUE,AES128,1,45,Safe
363,1,14,Logging,System Logging,Medium,0,0,Administrator,Production,Internal,Disabled,1,65,Risky
364,3,2,Cloud,CloudTrail,Critical,1,1,CI/CD,Production,VPN,Public,1,70,Risky
365,3,5,Firewall,RDP,Low,1,1,Engineer,Production,FALSE,Internal,1,35,Safe
366,3,20,Database,Remote Access,Medium,0,1,Administrator,Development,AES256,AES128,1,35,Safe
367,2,9,Logging,Log Integrity,Low,1,1,Administrator,Staging,AES256,FALSE,1,20,Safe
368,3,14,Cloud,Security Group,Critical,1,0,CI/CD,Staging,AES256,FALSE,1,60,Risky
369,3,12,Firewall,SSH Port,Medium,0,0,Engineer,Production,Enabled,TRUE,1,65,Risky
370,2,13,Identity,MFA,Medium,0,0,Engineer,Production,TRUE,Internal,1,65,Risky
371,3,17,Logging,Log Retention,Critical,1,1,Engineer,Development,FALSE,TRUE,1,45,Safe
372,1,18,Logging,Log Integrity,Medium,0,0,Administrator,Development,TRUE,Disabled,1,40,Safe
373,2,18,Identity,MFA,Medium,1,1,Administrator,Development,TRUE,Enabled,1,20,Safe
374,3,11,Identity,Conditional Access,Critical,0,1,Engineer,Development,Enabled,Internal,1,60,Risky
375,1,2,Cloud,S3 Public Access,Critical,0,1,CI/CD,Production,AES256,FALSE,1,85,Risky
376,1,5,Database,Encryption,High,0,1,CI/CD,Development,VPN,AES128,1,45,Safe
377,2,12,Logging,Log Integrity,Medium,1,0,Administrator,Production,FALSE,Enabled,1,50,Risky
378,3,15,Cloud,CloudTrail,Medium,0,1,CI/CD,Development,AES256,Internal,1,35,Safe
379,3,10,Cloud,S3 Public Access,Medium,1,0,CI/CD,Development,TRUE,AES128,1,25,Safe
380,2,14,Logging,Log Integrity,Low,1,1,Engineer,Staging,Internal,TRUE,1,20,Safe
381,3,9,Cloud,Security Group,Critical,1,1,Administrator,Production,VPN,FALSE,1,70,Risky
382,3,15,Cloud,IAM MFA,Low,0,1,CI/CD,Staging,AES256,Internal,1,35,Safe
383,3,15,Endpoint,USB Access,Critical,0,0,Engineer,Production,Enabled,TRUE,1,90,Risky
384,3,6,Logging,Log Retention,High,1,1,CI/CD,Production,FALSE,AES128,1,55,Risky
385,1,18,Endpoint,USB Access,Medium,0,1,Engineer,Staging,TRUE,Enabled,1,45,Safe
386,1,18,Firewall,HTTPS Port,Medium,0,1,Engineer,Staging,FALSE,Enabled,1,45,Safe
387,2,1,Logging,System Logging,Low,1,1,CI/CD,Staging,AES256,Internal,1,20,Safe
388,2,6,Endpoint,USB Access,Low,1,0,CI/CD,Development,Internal,FALSE,1,15,Safe
389,1,10,Identity,MFA,Critical,0,1,Engineer,Development,Disabled,AES128,1,60,Risky
390,1,16,Logging,Log Integrity,High,1,1,Engineer,Production,Internal,Disabled,1,55,Risky
391,2,12,Firewall,ICMP,High,0,0,Engineer,Staging,Enabled,Internal,1,60,Risky
392,3,14,Endpoint,USB Access,Medium,1,1,Engineer,Staging,VPN,Enabled,1,30,Safe
393,2,9,Database,Encryption,Medium,1,1,CI/CD,Development,AES256,Public,1,20,Safe
394,3,16,Database,Audit Logging,Critical,0,0,CI/CD,Development,VPN,AES128,1,65,Risky
395,3,9,Database,Encryption,High,0,1,CI/CD,Staging,Disabled,FALSE,1,55,Risky
396,1,19,Identity,Conditional Access,High,1,1,Administrator,Staging,Enabled,Enabled,0,30,Safe
397,3,7,Cloud,CloudTrail,Critical,0,0,Engineer,Development,TRUE,FALSE,1,65,Risky
398,3,11,Logging,Log Retention,Medium,1,1,CI/CD,Development,AES256,Internal,1,20,Safe
399,1,5,Cloud,IAM MFA,High,1,1,Administrator,Production,AES256,Public,1,55,Risky
400,2,16,Endpoint,Real Time Protection,High,0,1,Administrator,Development,FALSE,AES128,1,45,Safe
401,3,13,Firewall,ICMP,Low,1,0,CI/CD,Staging,AES256,FALSE,1,25,Safe
402,1,1,Database,Encryption,Critical,1,0,Administrator,Production,Enabled,AES128,1,75,Risky
403,1,15,Logging,Log Integrity,Low,0,1,Engineer,Staging,VPN,Public,1,35,Safe
404,1,6,Cloud,CloudTrail,High,0,0,CI/CD,Production,Internal,Enabled,1,75,Risky
405,1,9,Database,Audit Logging,Low,1,1,Engineer,Development,AES256,FALSE,1,10,Safe
406,2,15,Firewall,ICMP,High,0,1,Administrator,Development,TRUE,Internal,1,45,Safe
407,3,8,Identity,MFA,Low,1,0,CI/CD,Staging,Disabled,Internal,1,25,Safe
408,1,2,Database,Audit Logging,High,1,0,CI/CD,Development,AES256,Disabled,1,35,Safe
409,1,18,Database,Audit Logging,Critical,0,1,Administrator,Production,FALSE,TRUE,1,85,Risky
410,2,16,Logging,Log Retention,Critical,0,1,Administrator,Staging,Enabled,FALSE,1,70,Risky
411,1,6,Cloud,CloudTrail,Critical,1,1,Administrator,Production,Enabled,AES128,1,70,Risky
412,1,16,Identity,Password Length,Low,0,1,CI/CD,Development,TRUE,Public,1,25,Safe
413,1,15,Logging,System Logging,Critical,0,1,Engineer,Production,VPN,Public,1,85,Risky
414,2,6,Identity,Conditional Access,Medium,0,0,Administrator,Staging,Disabled,Disabled,0,40,Safe
415,3,11,Firewall,SSH Port,Medium,0,0,Administrator,Staging,VPN,Enabled,1,50,Risky
416,2,11,Database,Remote Access,Low,0,1,Administrator,Staging,AES256,Public,1,35,Safe
417,2,11,Logging,System Logging,Low,1,0,Engineer,Production,Enabled,FALSE,1,40,Safe
418,2,8,Database,Remote Access,Low,0,0,CI/CD,Staging,VPN,Disabled,1,40,Safe
419,3,19,Firewall,ICMP,High,1,1,Administrator,Development,FALSE,TRUE,1,30,Safe
420,3,17,Endpoint,USB Access,Medium,0,0,Engineer,Production,TRUE,AES128,1,65,Risky
421,2,16,Identity,Password Length,Low,0,1,CI/CD,Development,Enabled,Internal,1,25,Safe
422,2,5,Logging,Log Retention,Critical,1,0,Administrator,Development,Enabled,Internal,1,50,Risky
423,2,15,Firewall,RDP,Critical,1,1,CI/CD,Development,VPN,Disabled,1,45,Safe
424,3,8,Identity,MFA,Medium,0,1,Administrator,Staging,Disabled,Public,1,45,Safe
425,1,17,Identity,MFA,Low,1,0,CI/CD,Production,Disabled,AES128,1,40,Safe
426,2,13,Database,Encryption,Medium,0,0,Engineer,Production,Disabled,FALSE,1,65,Risky
427,2,2,Firewall,HTTPS Port,Medium,0,0,Administrator,Development,TRUE,Enabled,1,40,Safe
428,1,16,Logging,Log Integrity,Critical,0,0,Engineer,Staging,FALSE,AES128,1,75,Risky
429,2,9,Cloud,Security Group,Critical,1,0,CI/CD,Development,Internal,Enabled,1,50,Risky
430,2,14,Firewall,SSH Port,Critical,0,1,CI/CD,Development,Enabled,Disabled,1,60,Risky
431,2,18,Identity,Password Length,Critical,0,0,Engineer,Staging,Internal,Disabled,1,75,Risky
432,1,10,Logging,Log Retention,Critical,1,1,Engineer,Development,Internal,TRUE,1,45,Safe
433,2,11,Firewall,ICMP,Low,1,0,Engineer,Production,TRUE,Internal,1,40,Safe
434,2,14,Firewall,SSH Port,Low,0,1,Administrator,Development,Disabled,TRUE,1,25,Safe
435,2,2,Logging,Log Integrity,Low,0,0,Administrator,Production,FALSE,Internal,1,55,Risky
436,2,8,Cloud,CloudTrail,Critical,0,1,Engineer,Production,Enabled,Internal,1,85,Risky
437,3,5,Database,Remote Access,Critical,0,0,CI/CD,Development,FALSE,TRUE,1,65,Risky
438,1,6,Endpoint,USB Access,Low,1,0,CI/CD,Development,Internal,TRUE,1,15,Safe
439,2,14,Endpoint,Real Time Protection,Low,1,0,Administrator,Staging,AES256,AES128,1,25,Safe
440,2,5,Database,Audit Logging,Medium,0,0,Administrator,Staging,FALSE,TRUE,1,50,Risky
441,3,9,Database,Encryption,High,0,0,CI/CD,Development,VPN,Public,1,50,Risky
442,1,6,Database,Remote Access,High,1,1,CI/CD,Development,VPN,AES128,1,30,Safe
443,1,10,Database,Remote Access,Medium,1,0,Engineer,Staging,AES256,FALSE,1,35,Safe
444,2,18,Endpoint,Real Time Protection,Low,0,1,Administrator,Development,Disabled,Enabled,1,25,Safe
445,1,16,Endpoint,Real Time Protection,High,1,0,Engineer,Staging,VPN,FALSE,1,45,Safe
446,3,2,Endpoint,Firewall,High,0,1,Engineer,Production,Disabled,FALSE,1,70,Risky
447,1,9,Identity,Conditional Access,High,0,1,Engineer,Staging,VPN,FALSE,1,55,Risky
448,2,7,Database,Encryption,Medium,0,1,Engineer,Development,Disabled,Disabled,0,25,Safe
449,2,9,Database,Remote Access,Low,1,1,CI/CD,Production,TRUE,AES128,1,35,Safe
450,2,11,Firewall,SSH Port,Critical,1,1,Administrator,Development,Enabled,Enabled,0,35,Safe
451,1,9,Database,Audit Logging,Low,1,0,CI/CD,Production,FALSE,Public,1,40,Safe
452,3,15,Firewall,HTTPS Port,Critical,0,0,CI/CD,Development,Internal,Internal,0,55,Risky
453,3,18,Endpoint,Firewall,Low,1,0,Administrator,Staging,Enabled,Internal,1,25,Safe
454,2,20,Logging,System Logging,Low,0,0,CI/CD,Staging,Internal,Internal,0,30,Safe
455,1,15,Logging,System Logging,Medium,1,1,Engineer,Development,VPN,Internal,1,20,Safe
456,2,15,Firewall,ICMP,Medium,0,1,Administrator,Development,FALSE,Public,1,35,Safe
457,1,15,Database,Audit Logging,Medium,0,0,Engineer,Production,Internal,FALSE,1,65,Risky
458,3,4,Firewall,SSH Port,Medium,0,1,Engineer,Production,TRUE,Enabled,1,60,Risky
459,3,18,Logging,System Logging,High,0,1,Engineer,Staging,VPN,Enabled,1,55,Risky
460,2,3,Database,Audit Logging,Medium,1,0,Administrator,Production,VPN,Disabled,1,50,Risky
461,1,15,Endpoint,Firewall,Medium,0,1,Engineer,Development,Internal,AES128,1,35,Safe
462,2,6,Logging,Log Integrity,Critical,1,1,Administrator,Staging,Enabled,AES128,1,55,Risky
463,2,19,Logging,Log Integrity,Medium,1,1,Engineer,Staging,FALSE,AES128,1,30,Safe
464,3,2,Identity,Password Length,Medium,0,0,CI/CD,Staging,Disabled,TRUE,1,50,Risky
465,3,15,Cloud,CloudTrail,High,1,1,CI/CD,Staging,VPN,Internal,1,40,Safe
466,2,12,Logging,System Logging,Medium,1,1,CI/CD,Staging,Disabled,AES128,1,30,Safe
467,2,19,Endpoint,Real Time Protection,Low,0,1,CI/CD,Development,AES256,FALSE,1,25,Safe
468,2,13,Firewall,RDP,Low,0,1,CI/CD,Staging,Disabled,Enabled,1,35,Safe
469,2,4,Logging,Log Retention,Medium,1,0,CI/CD,Development,Internal,TRUE,1,25,Safe
470,3,4,Logging,Log Integrity,Low,0,1,Engineer,Staging,AES256,Internal,1,35,Safe
471,2,16,Identity,Conditional Access,High,1,1,Administrator,Production,VPN,Enabled,1,55,Risky
472,2,16,Identity,MFA,High,0,0,Engineer,Staging,TRUE,TRUE,0,50,Risky
473,2,20,Cloud,S3 Public Access,High,0,0,CI/CD,Development,VPN,FALSE,1,50,Risky
474,2,7,Identity,Conditional Access,Medium,1,1,Engineer,Development,Disabled,TRUE,1,20,Safe
475,1,2,Logging,Log Integrity,Critical,1,0,CI/CD,Production,Enabled,Internal,1,75,Risky
476,2,16,Cloud,CloudTrail,Critical,1,0,Administrator,Staging,Enabled,AES128,1,60,Risky
477,3,17,Logging,System Logging,High,1,0,Administrator,Staging,Internal,Disabled,1,45,Safe
478,1,5,Identity,Password Length,Low,0,1,Engineer,Production,FALSE,Internal,1,50,Risky
479,3,8,Identity,Password Length,Low,0,1,Administrator,Production,FALSE,Public,1,50,Risky
480,2,4,Cloud,IAM MFA,High,1,0,Engineer,Staging,VPN,FALSE,1,45,Safe
481,2,12,Identity,Password Length,High,1,0,Administrator,Development,Internal,Disabled,1,35,Safe
482,3,2,Endpoint,USB Access,Low,1,0,Administrator,Development,FALSE,Public,1,15,Safe
483,2,8,Logging,Log Integrity,High,0,1,CI/CD,Staging,FALSE,Disabled,1,55,Risky
484,1,20,Cloud,Security Group,Low,0,0,Administrator,Development,VPN,FALSE,1,30,Safe
485,3,3,Endpoint,USB Access,High,0,1,Administrator,Production,TRUE,TRUE,0,60,Risky
486,2,15,Cloud,S3 Public Access,Critical,0,0,CI/CD,Development,VPN,AES128,1,65,Risky
487,1,12,Firewall,ICMP,Medium,0,1,Engineer,Production,Enabled,TRUE,1,60,Risky
488,2,12,Identity,MFA,High,1,1,Administrator,Production,Internal,TRUE,1,55,Risky
489,3,3,Identity,Password Length,Medium,1,1,CI/CD,Staging,VPN,FALSE,1,30,Safe
490,3,16,Endpoint,Firewall,High,0,0,CI/CD,Development,Internal,Public,1,50,Risky
491,2,6,Endpoint,USB Access,Medium,1,1,Engineer,Production,FALSE,Enabled,1,45,Safe
492,3,10,Identity,MFA,Low,1,0,Administrator,Production,AES256,Disabled,1,40,Safe
493,2,18,Firewall,HTTPS Port,Medium,0,1,Engineer,Staging,Internal,FALSE,1,45,Safe
494,2,17,Logging,System Logging,High,1,0,Administrator,Production,Disabled,Enabled,1,60,Risky
495,3,19,Identity,Conditional Access,High,0,0,Engineer,Development,FALSE,TRUE,1,50,Risky
496,2,6,Logging,Log Integrity,Low,0,1,Administrator,Staging,Enabled,Internal,1,35,Safe
497,2,7,Identity,MFA,Low,0,1,Administrator,Production,Enabled,TRUE,1,50,Risky
498,3,11,Cloud,IAM MFA,Medium,0,1,Engineer,Development,Disabled,Disabled,0,25,Safe
499,1,18,Logging,Log Retention,High,0,1,Administrator,Development,Disabled,Disabled,0,35,Safe
500,2,17,Endpoint,USB Access,Medium,0,0,Administrator,Development,AES256,AES128,1,40,Safe
